명칭,위도,경도
송파본내과의원-1,37.50167263,127.1097519
엘피제이마음건강의원-1,37.503979,127.1099475
송파항외과의원-1,37.49699619,127.136286
홍지희내과의원-1,37.51124318,127.09703
서울아산샘내과의원-1,37.49321989,127.1448845
청담의원-1,37.50168265,127.1086436
인사랑한의원-1,37.51419511,127.1010718
경희다복한의원-1,37.49759217,127.1351223
리드치과의원-1,37.50224332,127.0956615
정마취통증의학과의원-1,37.50512473,127.0860971
김철우내과의원-1,37.49263472,127.1444876
효성한의원-1,37.49477695,127.1307071
잠실대항장문서울외과의원-1,37.50342777,127.0903023
사과꽃치과의원-1,37.50508905,127.1079473
잠실서울밝은안과의원-1,37.50508905,127.1079473
박태홍의원-1,37.51326461,127.1229797
새이드림치과의원-1,37.5345163,127.1167575
하나경희한의원-1,37.51072179,127.1159744
유이비인후과의원-1,37.49284175,127.1446576
더웰스의원-1,37.51146214,127.0812181
미래신경과의원-1,37.49173601,127.117766
경이비인후과의원-1,37.47763462,127.1272747
김미경소아과의원-1,37.49434622,127.1520672
맘편한한의원-1,37.50584628,127.1075073
리뉴미피부과의원-1,37.51138871,127.0831974
거여경희한의원-1,37.49263472,127.1444876
서울이비인후과의원-1,37.49801978,127.1468726
김현영치과의원-1,37.52628031,127.1176838
시원정형외과의원-1,37.50561837,127.0887328
연세하이디치과의원-1,37.51143405,127.0827676
예본한의원-1,37.51525959,127.0995123
서울나우치과의원-1,37.50652111,127.1085261
송파365의원-1,37.5147314,127.1060607
연세계치과의원-1,37.5065652,127.0742686
김윤숙산부인과의원-1,37.51143405,127.0827676
송파다인치과의원-1,37.49845285,127.1463985
마천한의원-1,37.49699891,127.1490871
굿센한의원-1,37.51097514,127.0941907
잠실123한의원-1,37.50677627,127.1053032
하나이비인후과의원-1,37.51525959,127.0995123
JnS오치과의원-1,37.50908107,127.1257892
준앤미치과의원-1,37.50695781,127.0927607
그린소아청소년과의원-1,37.50324951,127.1190392
이퍼스트치과의원-1,37.49112369,127.1262457
엑셀브이의원-1,37.51073787,127.0862052
고강한의원-1,37.51218419,127.1130585
위키소아청소년과의원-1,37.48120293,127.1429056
이정익내과의원-1,37.51073787,127.0862052
은치과교정과치과의원-1,37.51824052,127.1011451
한솔치과의원-1,37.48476701,127.1305542
2080치과의원-1,37.50527072,127.1062963
정승우치과의원-1,37.51188722,127.1126735
베스트의원-1,37.49715342,127.1480131
혜민한의원-1,37.53735861,127.1216045
연세한치과의원-1,37.50168265,127.1086436
일동한의원-1,37.50401096,127.114313
상덕의원-1,37.53670911,127.1223728
연세(유)소아청소년과의원-1,37.49866817,127.1471453
윤명희소아과의원-1,37.51548936,127.1320889
빛샘가정의학과의원-1,37.49173601,127.117766
사랑의치과의원-1,37.4957321,127.1221032
백운규안과의원-1,37.51768164,127.101461
김재형치과의원-1,37.50846473,127.0767813
